isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-2.5369,0.3237,-3.2455,-1.9625,61.42,<.0001
1,x1,1,-0.7427,0.8547,-2.9357,0.6531,0.76,0.3849
1,x2,1,0.7589,0.4490,-0.1287,1.6586,2.86,0.0910
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.4802,0.3120,-3.1575,-1.9228,63.19,<.0001
2,x1,1,0.5984,0.5021,-0.4784,1.5277,1.42,0.2334
2,x2,1,0.4012,0.4295,-0.4438,1.2605,0.87,0.3502
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-3.1691,0.4256,-4.1356,-2.4354,55.45,<.0001
3,x1,1,0.3889,0.6362,-1.0088,1.5632,0.37,0.5410
3,x2,1,1.1247,0.5570,0.0470,2.2789,4.08,0.0435
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.4904,0.3071,-3.1588,-1.9431,65.78,<.0001
4,x1,1,-1.2809,1.4222,-6.0466,0.7089,0.81,0.3678
4,x2,1,0.5136,0.4564,-0.4085,1.4100,1.27,0.2605
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.6830,0.3239,-3.3924,-2.1084,68.60,<.0001
5,x1,1,0.2362,0.7078,-1.4095,1.4842,0.11,0.7386
5,x2,1,0.8175,0.4754,-0.1362,1.7569,2.96,0.0855
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.1872,0.2677,-2.7569,-1.7014,66.76,<.0001
6,x1,1,1.4246,0.4247,0.5438,2.2293,11.25,0.0008
6,x2,1,-0.1375,0.3987,-0.9414,0.6379,0.12,0.7302
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.7963,0.3427,-3.5517,-2.1917,66.59,<.0001
7,x1,1,0.6763,0.5723,-0.5010,1.7880,1.40,0.2373
7,x2,1,0.6780,0.5202,-0.3710,1.7000,1.70,0.1925
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.6670,0.3254,-3.3779,-2.0888,67.16,<.0001
8,x1,1,0.1068,0.8512,-2.0665,1.5038,0.02,0.9002
8,x2,1,0.5090,0.5042,-0.5280,1.4874,1.02,0.3127
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.1193,0.2719,-2.7037,-1.6294,60.74,<.0001
9,x1,1,-0.2927,0.6996,-1.9276,0.9302,0.18,0.6757
9,x2,1,0.1470,0.4390,-0.7497,0.9937,0.11,0.7377
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-2.7769,0.3647,-3.5866,-2.1369,57.97,<.0001
10,x1,1,0.6123,0.6914,-1.0103,1.8155,0.78,0.3758
10,x2,1,0.7186,0.4836,-0.2236,1.7051,2.21,0.1373
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-2.0498,0.2540,-2.5921,-1.5898,65.15,<.0001
11,x1,1,-0.3670,0.6808,-1.9785,0.8030,0.29,0.5899
11,x2,1,0.3778,0.3972,-0.4257,1.1486,0.91,0.3414
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.8152,0.3673,-3.6293,-2.1697,58.74,<.0001
12,x1,1,0.7178,0.4819,-0.2939,1.6275,2.22,0.1364
12,x2,1,1.0294,0.4637,0.1425,1.9881,4.93,0.0264
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.2555,0.2716,-2.8394,-1.7665,68.98,<.0001
13,x1,1,-1.3066,1.4380,-6.1201,0.7232,0.83,0.3636
13,x2,1,0.3344,0.4356,-0.5588,1.1742,0.59,0.4426
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.9403,0.3919,-3.8196,-2.2584,56.30,<.0001
14,x1,1,0.0315,0.5314,-1.1409,0.9929,0.00,0.9528
14,x2,1,1.3553,0.4664,0.4837,2.3443,8.44,0.0037
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-3.1076,0.3918,-3.9875,-2.4266,62.93,<.0001
15,x1,1,-1.0854,0.8634,-3.2981,0.3322,1.58,0.2087
15,x2,1,1.7120,0.4885,0.7810,2.7333,12.28,0.0005
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.5077,0.3241,-3.2175,-1.9328,59.86,<.0001
16,x1,1,-0.1902,0.5997,-1.5414,0.8823,0.10,0.7511
16,x2,1,0.7406,0.4361,-0.1114,1.6221,2.88,0.0895
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.7579,0.3424,-3.5131,-2.1541,64.88,<.0001
17,x1,1,-0.9669,0.8552,-3.1682,0.4258,1.28,0.2582
17,x2,1,1.1844,0.4409,0.3334,2.0885,7.21,0.0072
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.7090,0.3646,-3.5192,-2.0697,55.20,<.0001
18,x1,1,-0.0222,0.6245,-1.4056,1.1187,0.00,0.9716
18,x2,1,0.7121,0.4994,-0.2695,1.7226,2.03,0.1539
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.6273,0.3426,-3.3830,-2.0231,58.80,<.0001
19,x1,1,-0.3878,0.5922,-1.7301,0.6642,0.43,0.5126
19,x2,1,1.1105,0.4327,0.2816,2.0029,6.59,0.0103
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-2.5234,0.3086,-3.1958,-1.9739,66.87,<.0001
20,x1,1,0.2251,0.7189,-1.4384,1.5090,0.10,0.7542
20,x2,1,0.7476,0.4611,-0.1858,1.6524,2.63,0.1049
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-2.3310,0.2948,-2.9697,-1.8034,62.51,<.0001
21,x1,1,-0.0081,0.5940,-1.3513,1.0483,0.00,0.9891
21,x2,1,0.6697,0.4122,-0.1435,1.4919,2.64,0.1042
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-2.5731,0.3108,-3.2482,-2.0182,68.52,<.0001
22,x1,1,0.3729,0.6861,-1.2377,1.5641,0.30,0.5868
22,x2,1,0.4170,0.4801,-0.5635,1.3499,0.75,0.3851
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-2.8861,0.3904,-3.7622,-2.2071,54.66,<.0001
23,x1,1,-1.3820,1.4295,-6.1762,0.6229,0.93,0.3337
23,x2,1,1.0060,0.4954,0.0547,2.0352,4.12,0.0423
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-2.7802,0.3645,-3.5898,-2.1409,58.18,<.0001
24,x1,1,0.3422,0.7035,-1.2964,1.5791,0.24,0.6267
24,x2,1,0.9506,0.4996,-0.0330,1.9606,3.62,0.0571
24,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-2.5308,0.2967,-3.1726,-1.9991,72.75,<.0001
25,x1,1,1.0971,0.5301,-0.0215,2.0926,4.28,0.0385
25,x2,1,0.3799,0.4582,-0.5413,1.2747,0.69,0.4071
25,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-2.7616,0.3338,-3.4889,-2.1675,68.45,<.0001
26,x1,1,0.7463,0.4795,-0.2206,1.6798,2.42,0.1196
26,x2,1,0.6458,0.4728,-0.2849,1.5877,1.87,0.1719
26,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-2.8069,0.3435,-3.5628,-2.1999,66.77,<.0001
27,x1,1,0.2682,0.6773,-1.3352,1.4330,0.16,0.6922
27,x2,1,0.9598,0.4525,0.0784,1.8799,4.50,0.0339
27,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-2.9121,0.3648,-3.7230,-2.2728,63.74,<.0001
28,x1,1,0.7762,0.5235,-0.3321,1.7634,2.20,0.1382
28,x2,1,1.2323,0.4775,0.3080,2.2113,6.66,0.0099
28,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
29,Intercept,1,-1.9812,0.2339,-2.4765,-1.5546,71.74,<.0001
29,x1,1,0.3744,0.6758,-1.2253,1.5323,0.31,0.5796
29,x2,1,-0.2201,0.4381,-1.1403,0.6010,0.25,0.6155
29,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
30,Intercept,1,-2.0167,0.2616,-2.5769,-1.5441,59.44,<.0001
30,x1,1,-1.7045,1.4158,-6.4895,0.2441,1.45,0.2286
30,x2,1,0.4812,0.3573,-0.2207,1.1943,1.81,0.1781
30,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
31,Intercept,1,-2.6037,0.3241,-3.3129,-2.0286,64.55,<.0001
31,x1,1,-0.0656,0.7089,-1.7106,1.1851,0.01,0.9263
31,x2,1,0.6329,0.4880,-0.3525,1.5910,1.68,0.1946
31,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
32,Intercept,1,-2.2066,0.2601,-2.7611,-1.7349,71.95,<.0001
32,x1,1,0.6546,0.5537,-0.5477,1.6666,1.40,0.2371
32,x2,1,-0.3509,0.4886,-1.3766,0.5647,0.52,0.4727
32,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
33,Intercept,1,-2.4988,0.3241,-3.2086,-1.9238,59.43,<.0001
33,x1,1,-0.2957,0.5900,-1.6342,0.7502,0.25,0.6162
33,x2,1,0.8928,0.4208,0.0796,1.7512,4.50,0.0338
33,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
34,Intercept,1,-2.9053,0.3645,-3.7153,-2.2664,63.54,<.0001
34,x1,1,-0.0407,0.6843,-1.6580,1.1405,0.00,0.9525
34,x2,1,1.2544,0.4613,0.3705,2.2089,7.39,0.0065
34,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
35,Intercept,1,-2.7856,0.3428,-3.5402,-2.1801,66.03,<.0001
35,x1,1,0.6080,0.7853,-1.1278,2.0552,0.60,0.4388
35,x2,1,0.1485,0.6426,-1.2145,1.3471,0.05,0.8172
35,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
36,Intercept,1,-2.6385,0.3648,-3.4493,-1.9990,52.31,<.0001
36,x1,1,0.1502,0.5250,-1.0137,1.0943,0.08,0.7748
36,x2,1,1.1514,0.4364,0.3324,2.0697,6.96,0.0083
36,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
37,Intercept,1,-2.4305,0.3089,-3.1020,-1.8793,61.90,<.0001
37,x1,1,-0.5535,0.8618,-2.7380,0.8731,0.41,0.5207
37,x2,1,0.0458,0.5262,-1.0596,1.0452,0.01,0.9306
37,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
38,Intercept,1,-2.7387,0.3654,-3.5491,-2.0971,56.18,<.0001
38,x1,1,-0.0908,0.6847,-1.7031,1.0955,0.02,0.8945
38,x2,1,0.7204,0.4795,-0.2122,1.7002,2.26,0.1330
38,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
39,Intercept,1,-3.0755,0.4252,-4.0391,-2.3413,52.32,<.0001
39,x1,1,-0.2290,0.8577,-2.4136,1.1868,0.07,0.7895
39,x2,1,0.9776,0.5424,-0.0686,2.1074,3.25,0.0715
39,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
40,Intercept,1,-2.6068,0.3255,-3.3188,-2.0287,64.13,<.0001
40,x1,1,0.6645,0.3895,-0.1468,1.3982,2.91,0.0880
40,x2,1,1.3489,0.3895,0.6153,2.1602,11.99,0.0005
40,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
41,Intercept,1,-2.5909,0.3440,-3.3476,-1.9830,56.73,<.0001
41,x1,1,0.8823,0.6397,-0.5191,2.0596,1.90,0.1678
41,x2,1,0.0418,0.5276,-1.0264,1.0750,0.01,0.9368
41,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
42,Intercept,1,-2.4081,0.2864,-3.0243,-1.8927,70.69,<.0001
42,x1,1,0.9310,0.5700,-0.3770,1.9261,2.67,0.1024
42,x2,1,0.7762,0.3839,0.0223,1.5446,4.09,0.0432
42,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
43,Intercept,1,-2.6268,0.3624,-3.4309,-1.9909,52.54,<.0001
43,x1,1,-1.0121,1.4218,-5.7331,1.0050,0.51,0.4766
43,x2,1,-0.0438,0.5516,-1.1789,1.0356,0.01,0.9366
43,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
44,Intercept,1,-2.6950,0.3642,-3.5044,-2.0566,54.76,<.0001
44,x1,1,-0.8192,0.8623,-3.0238,0.5988,0.90,0.3421
44,x2,1,0.8902,0.4812,-0.0469,1.8734,3.42,0.0643
44,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
45,Intercept,1,-2.4534,0.2947,-3.0920,-1.9261,69.30,<.0001
45,x1,1,0.2837,0.5466,-0.9105,1.2841,0.27,0.6037
45,x2,1,0.7765,0.4149,-0.0431,1.6029,3.50,0.0613
45,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
46,Intercept,1,-2.1760,0.2626,-2.7381,-1.7015,68.68,<.0001
46,x1,1,-0.4892,0.8586,-2.6775,0.9216,0.32,0.5688
46,x2,1,-0.0717,0.4751,-1.0715,0.8218,0.02,0.8800
46,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
47,Intercept,1,-2.7631,0.3685,-3.5780,-2.1153,56.24,<.0001
47,x1,1,0.2404,0.8497,-1.9269,1.6389,0.08,0.7773
47,x2,1,0.4485,0.5269,-0.6195,1.4918,0.72,0.3946
47,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
48,Intercept,1,-2.3770,0.3086,-3.0486,-1.8269,59.34,<.0001
48,x1,1,0.3075,0.5850,-1.0235,1.3400,0.28,0.5991
48,x2,1,0.6744,0.4061,-0.1140,1.4976,2.76,0.0968
48,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
49,Intercept,1,-2.5838,0.3240,-3.2932,-2.0091,63.60,<.0001
49,x1,1,-0.4695,0.6820,-2.0838,0.7045,0.47,0.4911
49,x2,1,1.0606,0.4297,0.2241,1.9321,6.09,0.0136
49,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
50,Intercept,1,-2.2785,0.3088,-2.9502,-1.7278,54.45,<.0001
50,x1,1,-0.6012,0.6684,-2.1958,0.5360,0.81,0.3684
50,x2,1,0.6632,0.4057,-0.1256,1.4850,2.67,0.1021
