isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-2.8074,0.5774,-3.9390,-1.6758,23.64,<.0001
1,x1,1,-22.2098,188691.3,-369850,369805.9,0.00,0.9999
1,x2,1,0.0691,1.1547,-2.1940,2.3323,0.00,0.9523
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-3.0471,0.7071,-4.4330,-1.6612,18.57,<.0001
2,x1,1,-24.8701,233935.3,-458530,458479.9,0.00,0.9999
2,x2,1,1.7987,0.8660,0.1013,3.4960,4.31,0.0378
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.2633,0.5031,-3.2494,-1.2773,20.24,<.0001
3,x1,1,0.4338,1.0761,-1.6754,2.5429,0.16,0.6869
3,x2,1,0.7389,0.6806,-0.5950,2.0729,1.18,0.2776
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.8522,0.7071,-4.2381,-1.4662,16.27,<.0001
4,x1,1,-24.3501,216523.0,-424402,424353.0,0.00,0.9999
4,x2,1,1.1844,0.8660,-0.5129,2.8818,1.87,0.1714
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.4132,0.5000,-3.3932,-1.4332,23.29,<.0001
5,x1,1,0.3505,1.1547,-1.9127,2.6136,0.09,0.7615
5,x2,1,0.4735,0.7638,-1.0234,1.9705,0.38,0.5353
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-2.3292,0.5000,-3.3092,-1.3492,21.70,<.0001
6,x1,1,-23.6652,166995.4,-327329,327281.2,0.00,0.9999
6,x2,1,0.2617,0.8660,-1.4356,1.9591,0.09,0.7625
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.4505,0.5163,-3.4625,-1.4385,22.52,<.0001
7,x1,1,1.1598,1.2922,-1.3728,3.6925,0.81,0.3694
7,x2,1,-0.9831,1.2922,-3.5157,1.5496,0.58,0.4468
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-3.0581,0.7298,-4.4886,-1.6277,17.56,<.0001
8,x1,1,0.5861,1.0955,-1.5609,2.7331,0.29,0.5926
8,x2,1,1.3488,0.8660,-0.3486,3.0462,2.43,0.1194
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-3.0104,0.7134,-4.4087,-1.6121,17.80,<.0001
9,x1,1,0.4984,0.8632,-1.1935,2.1903,0.33,0.5637
9,x2,1,1.0257,0.8632,-0.6662,2.7176,1.41,0.2347
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-1.8550,0.4472,-2.7316,-0.9785,17.21,<.0001
10,x1,1,-26.0853,217560.5,-426437,426384.7,0.00,0.9999
10,x2,1,0.7758,0.6708,-0.5390,2.0906,1.34,0.2475
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-2.5539,0.5774,-3.6854,-1.4223,19.57,<.0001
11,x1,1,-24.2026,235729.6,-462046,461997.3,0.00,0.9999
11,x2,1,0.4328,0.9129,-1.3564,2.2220,0.22,0.6354
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.2919,0.5774,-3.4234,-1.1603,15.76,<.0001
12,x1,1,-23.4081,242493.2,-475301,475254.5,0.00,0.9999
12,x2,1,-0.9988,1.1547,-3.2619,1.2644,0.75,0.3871
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.3059,0.5774,-3.4375,-1.1743,15.95,<.0001
13,x1,1,-24.3734,286382.4,-561323,561274.7,0.00,0.9999
13,x2,1,-0.5378,1.1547,-2.8010,1.7253,0.22,0.6414
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.4368,0.5777,-3.5690,-1.3046,17.79,<.0001
14,x1,1,0.2821,0.8948,-1.4717,2.0360,0.10,0.7526
14,x2,1,0.5768,0.8004,-0.9919,2.1455,0.52,0.4711
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-2.9646,0.7097,-4.3555,-1.5736,17.45,<.0001
15,x1,1,-0.4122,1.1214,-2.6100,1.7857,0.14,0.7132
15,x2,1,1.3166,0.8865,-0.4210,3.0542,2.21,0.1375
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.6012,0.5774,-3.7328,-1.4696,20.30,<.0001
16,x1,1,-24.2266,216760.1,-424866,424817.7,0.00,0.9999
16,x2,1,0.7345,0.8165,-0.8658,2.3349,0.81,0.3683
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.2463,0.5000,-3.2263,-1.2663,20.18,<.0001
17,x1,1,-23.7291,167723.9,-328757,328709.2,0.00,0.9999
17,x2,1,0.2332,0.7638,-1.2638,1.7301,0.09,0.7602
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.2404,0.5000,-3.2204,-1.2605,20.08,<.0001
18,x1,1,-23.5966,145815.8,-285817,285770.1,0.00,0.9999
18,x2,1,0.6630,0.7071,-0.7229,2.0489,0.88,0.3484
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.7180,0.7071,-4.1039,-1.3321,14.78,0.0001
19,x1,1,-25.6233,217437.1,-426195,426143.3,0.00,0.9999
19,x2,1,1.5211,0.8367,-0.1188,3.1609,3.31,0.0691
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-3.6465,1.0000,-5.6065,-1.6865,13.30,0.0003
20,x1,1,-24.1604,204472.9,-400784,400735.4,0.00,0.9999
20,x2,1,2.0836,1.1180,-0.1077,4.2749,3.47,0.0624
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-3.0419,0.7211,-4.4551,-1.6286,17.80,<.0001
21,x1,1,0.1734,1.0983,-1.9792,2.3261,0.02,0.8745
21,x2,1,1.3954,0.8683,-0.3064,3.0972,2.58,0.1080
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-4.0667,1.0184,-6.0627,-2.0707,15.95,<.0001
22,x1,1,1.6878,1.0042,-0.2804,3.6559,2.83,0.0928
22,x2,1,1.7783,1.2299,-0.6322,4.1888,2.09,0.1482
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-3.1290,0.7071,-4.5149,-1.7430,19.58,<.0001
23,x1,1,-22.9026,231477.3,-453710,453664.3,0.00,0.9999
23,x2,1,0.3830,1.2247,-2.0175,2.7834,0.10,0.7545
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-3.5737,1.0000,-5.5337,-1.6138,12.77,0.0004
24,x1,1,-24.1597,277378.0,-543675,543626.8,0.00,0.9999
24,x2,1,1.3710,1.2247,-1.0295,3.7714,1.25,0.2630
24,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-2.3413,0.5497,-3.4186,-1.2639,18.14,<.0001
25,x1,1,0.9859,0.8899,-0.7583,2.7302,1.23,0.2679
25,x2,1,-0.2524,0.8899,-1.9966,1.4919,0.08,0.7767
25,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-1.7507,0.3780,-2.4915,-1.0099,21.45,<.0001
26,x1,1,-23.6907,144542.6,-283322,283274.6,0.00,0.9999
26,x2,1,-0.2262,0.8018,-1.7976,1.3453,0.08,0.7779
26,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-28.6871,0.5774,-29.8187,-27.5556,2468.86,<.0001
27,x1,1,1.2926,0.9129,-0.4966,3.0818,2.00,0.1568
27,x2,0,26.7527,0.0000,26.7527,26.7527,,
27,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-2.9107,0.7071,-4.2966,-1.5248,16.94,<.0001
28,x1,1,-25.0454,238638.8,-467749,467698.4,0.00,0.9999
28,x2,1,1.5429,0.9129,-0.2463,3.3321,2.86,0.0910
28,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
29,Intercept,1,-3.3207,1.0000,-5.2807,-1.3607,11.03,0.0009
29,x1,1,-24.4149,293068.6,-574428,574379.4,0.00,0.9999
29,x2,1,0.9044,1.2247,-1.4961,3.3048,0.55,0.4603
29,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
30,Intercept,1,-28.6409,0.7071,-30.0268,-27.2550,1640.60,<.0001
30,x1,1,0.3249,1.2247,-2.0755,2.7254,0.07,0.7908
30,x2,0,26.4503,0.0000,26.4503,26.4503,,
30,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
31,Intercept,1,-1.9789,0.5000,-2.9589,-0.9989,15.66,<.0001
31,x1,1,-24.2040,242057.4,-474448,474399.6,0.00,0.9999
31,x2,1,0.0179,0.7638,-1.4791,1.5148,0.00,0.9813
31,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
32,Intercept,1,-2.5774,0.5774,-3.7090,-1.4458,19.93,<.0001
32,x1,1,-23.4296,249133.0,-488315,488268.3,0.00,0.9999
32,x2,1,0.6368,0.8165,-0.9635,2.2371,0.61,0.4355
32,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
33,Intercept,1,-2.1513,0.4472,-3.0278,-1.2748,23.14,<.0001
33,x1,1,-25.0521,229421.6,-449683,449633.1,0.00,0.9999
33,x2,1,0.4179,1.0954,-1.7292,2.5649,0.15,0.7029
33,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
34,Intercept,1,-2.3247,0.5774,-3.4563,-1.1931,16.21,<.0001
34,x1,1,-24.1735,180206.2,-353222,353173.6,0.00,0.9999
34,x2,1,0.5842,0.7638,-0.9127,2.0812,0.59,0.4443
34,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
35,Intercept,1,-2.2534,0.5774,-3.3850,-1.1218,15.23,<.0001
35,x1,1,-24.4531,183038.1,-358773,358723.6,0.00,0.9999
35,x2,1,0.0769,0.9129,-1.7123,1.8661,0.01,0.9328
35,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
36,Intercept,1,-1.5004,0.3333,-2.1537,-0.8470,20.26,<.0001
36,x1,1,-23.5805,132287.7,-259303,259255.6,0.00,0.9999
36,x2,1,-0.4562,0.7817,-1.9884,1.0760,0.34,0.5595
36,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
37,Intercept,1,-2.5534,0.5805,-3.6911,-1.4156,19.35,<.0001
37,x1,1,0.4036,1.1508,-1.8520,2.6592,0.12,0.7258
37,x2,1,0.3300,0.8578,-1.3512,2.0112,0.15,0.7005
37,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
38,Intercept,1,-3.0148,0.7071,-4.4007,-1.6289,18.18,<.0001
38,x1,1,-24.2561,244282.7,-478810,478761.0,0.00,0.9999
38,x2,1,0.8619,1.0000,-1.0981,2.8218,0.74,0.3888
38,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
39,Intercept,1,-2.4779,0.5789,-3.6124,-1.3433,18.32,<.0001
39,x1,1,-0.2408,1.0634,-2.3251,1.8435,0.05,0.8209
39,x2,1,1.2017,0.6962,-0.1628,2.5662,2.98,0.0843
39,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
40,Intercept,1,-2.9776,0.7071,-4.3635,-1.5917,17.73,<.0001
40,x1,1,-23.7860,172087.6,-337309,337261.7,0.00,0.9999
40,x2,1,1.4971,0.8660,-0.2003,3.1945,2.99,0.0839
40,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
41,Intercept,1,-2.4904,0.5774,-3.6220,-1.3589,18.61,<.0001
41,x1,1,-23.5525,389038.5,-762525,762477.9,0.00,1.0000
41,x2,1,-25.2256,285041.1,-558695,558645.0,0.00,0.9999
41,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
42,Intercept,1,-2.3826,0.5000,-3.3625,-1.4026,22.71,<.0001
42,x1,1,-23.5952,189441.6,-371322,371275.1,0.00,0.9999
42,x2,1,-0.1638,1.1180,-2.3551,2.0275,0.02,0.8835
42,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
43,Intercept,1,-3.1026,0.7071,-4.4885,-1.7167,19.25,<.0001
43,x1,1,-24.5722,300667.7,-589322,589273.2,0.00,0.9999
43,x2,1,1.1453,1.0000,-0.8147,3.1053,1.31,0.2521
43,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
44,Intercept,1,-3.5149,1.0012,-5.4773,-1.5525,12.32,0.0004
44,x1,1,0.1087,1.2023,-2.2477,2.4651,0.01,0.9279
44,x2,1,1.3347,1.2023,-1.0217,3.6911,1.23,0.2669
44,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
45,Intercept,1,-2.6633,0.5774,-3.7949,-1.5317,21.28,<.0001
45,x1,1,-23.2826,236841.2,-464224,464177.0,0.00,0.9999
45,x2,1,-0.1670,1.1547,-2.4302,2.0962,0.02,0.8850
45,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
46,Intercept,1,-3.8220,1.0110,-5.8035,-1.8406,14.29,0.0002
46,x1,1,1.2998,1.1706,-0.9945,3.5941,1.23,0.2668
46,x2,1,1.7553,1.1706,-0.5390,4.0496,2.25,0.1337
46,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
47,Intercept,1,-2.6710,0.7071,-4.0569,-1.2851,14.27,0.0002
47,x1,1,-25.7586,288071.3,-564635,564583.6,0.00,0.9999
47,x2,1,0.9097,0.9129,-0.8795,2.6989,0.99,0.3190
47,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
48,Intercept,1,-2.9017,0.7071,-4.2876,-1.5158,16.84,<.0001
48,x1,1,-24.8612,312205.2,-611936,611886.0,0.00,0.9999
48,x2,1,0.7669,1.0000,-1.1930,2.7269,0.59,0.4431
48,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
49,Intercept,1,-2.3096,0.5158,-3.3206,-1.2986,20.05,<.0001
49,x1,1,1.4500,0.9008,-0.3155,3.2155,2.59,0.1075
49,x2,1,0.0342,0.8223,-1.5774,1.6459,0.00,0.9668
49,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
50,Intercept,1,-1.5085,0.4082,-2.3087,-0.7084,13.65,0.0002
50,x1,1,-23.9584,219399.1,-430038,429990.3,0.00,0.9999
50,x2,1,-0.9377,0.8165,-2.5380,0.6626,1.32,0.2508
50,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
51,Intercept,1,-1.5872,0.3780,-2.3280,-0.8464,17.63,<.0001
51,x1,1,-24.6173,208797.6,-409260,409211.2,0.00,0.9999
51,x2,1,-0.9060,1.0690,-3.0013,1.1893,0.72,0.3967
51,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
52,Intercept,1,-2.4359,0.5774,-3.5675,-1.3044,17.80,<.0001
52,x1,1,-24.9529,185361.0,-363326,363275.9,0.00,0.9999
52,x2,1,0.9415,0.8165,-0.6588,2.5419,1.33,0.2488
52,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
53,Intercept,1,-1.9247,0.3936,-2.6960,-1.1533,23.91,<.0001
53,x1,1,0.3778,1.0899,-1.7583,2.5139,0.12,0.7289
