Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,ncov,nbeta,nobs
Intercept,1,-2.4493,0.0056,-2.4603,-2.4382,190004,<.0001,2,1,60
x1,1,-2.8227,0.0428,-2.9067,-2.7387,4340.69,<.0001,2,1,60
x2,1,0.6922,0.0080,0.6765,0.7080,7446.14,<.0001,2,1,60
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,1,60
Intercept,1,-2.5025,0.0057,-2.5137,-2.4913,191292,<.0001,2,2,60
x1,1,-0.6819,0.0157,-0.7127,-0.6511,1883.26,<.0001,2,2,60
x2,1,0.6957,0.0081,0.6799,0.7116,7401.22,<.0001,2,2,60
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,2,60
Intercept,1,-2.5611,0.0058,-2.5725,-2.5496,192437,<.0001,2,3,60
x1,1,0.0046,0.0121,-0.0190,0.0283,0.15,0.7014,2,3,60
x2,1,0.6835,0.0082,0.6675,0.6996,6967.48,<.0001,2,3,60
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,3,60
Intercept,1,-2.6793,0.0061,-2.6913,-2.6674,193177,<.0001,2,4,60
x1,1,0.6738,0.0098,0.6545,0.6931,4687.31,<.0001,2,4,60
x2,1,0.6964,0.0084,0.6799,0.7128,6916.81,<.0001,2,4,60
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,4,60
Intercept,1,-3.6010,0.0085,-3.6177,-3.5843,178436,<.0001,2,5,60
x1,1,2.7437,0.0092,2.7257,2.7618,89039.7,<.0001,2,5,60
x2,1,0.6678,0.0094,0.6493,0.6863,4994.69,<.0001,2,5,60
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,5,60
Intercept,1,-2.4935,0.0031,-2.4996,-2.4873,630606,<.0001,2,1,200
x1,1,-2.7751,0.0238,-2.8218,-2.7283,13541.3,<.0001,2,1,200
x2,1,0.6909,0.0045,0.6821,0.6997,23674.9,<.0001,2,1,200
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,1,200
Intercept,1,-2.5536,0.0032,-2.5598,-2.5473,632434,<.0001,2,2,200
x1,1,-0.6974,0.0091,-0.7151,-0.6796,5935.96,<.0001,2,2,200
x2,1,0.6967,0.0045,0.6878,0.7056,23505.3,<.0001,2,2,200
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,2,200
Intercept,1,-2.6122,0.0033,-2.6186,-2.6057,634877,<.0001,2,3,200
x1,1,0.0025,0.0069,-0.0111,0.0160,0.13,0.7219,2,3,200
x2,1,0.6865,0.0046,0.6775,0.6955,22223.4,<.0001,2,3,200
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,3,200
Intercept,1,-2.7300,0.0034,-2.7367,-2.7233,637091,<.0001,2,4,200
x1,1,0.6967,0.0056,0.6858,0.7076,15659.4,<.0001,2,4,200
x2,1,0.6985,0.0047,0.6893,0.7077,22068.4,<.0001,2,4,200
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,4,200
Intercept,1,-3.6876,0.0049,-3.6971,-3.6780,572459,<.0001,2,5,200
x1,1,2.7742,0.0052,2.7639,2.7845,279629,<.0001,2,5,200
x2,1,0.6912,0.0054,0.6805,0.7018,16148.9,<.0001,2,5,200
Skala,0,1.0000,0.0000,1.0000,1.0000,_,_,2,5,200
