isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
1,Intercept,1,-3.2991,0.4096,-4.2095,-2.5819,64.89,<.0001
1,x1,1,3.2830,0.4840,2.3824,4.3024,46.01,<.0001
1,x2,1,-0.1677,0.4263,-0.9704,0.7131,0.15,0.6941
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-3.4259,0.4416,-4.4195,-2.6596,60.18,<.0001
2,x1,1,2.9465,0.4517,2.0967,3.8823,42.56,<.0001
2,x2,1,0.7639,0.5225,-0.2044,1.8739,2.14,0.1437
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-3.6635,0.4947,-4.7743,-2.8070,54.84,<.0001
3,x1,1,2.4473,0.5198,1.4749,3.5488,22.17,<.0001
3,x2,1,0.7386,0.5198,-0.2339,1.8401,2.02,0.1554
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-3.1140,0.4079,-4.0204,-2.3994,58.27,<.0001
4,x1,1,3.4150,0.4983,2.4611,4.4488,46.97,<.0001
4,x2,1,-0.5529,0.4854,-1.5422,0.3915,1.30,0.2546
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-4.5320,0.6762,-6.1446,-3.4084,44.92,<.0001
5,x1,1,2.7082,0.5359,1.7363,3.8811,25.53,<.0001
5,x2,1,1.8127,0.6833,0.6325,3.4159,7.04,0.0080
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-4.0434,0.6498,-5.6109,-2.9710,38.72,<.0001
6,x1,1,2.5401,0.5812,1.4642,3.7848,19.10,<.0001
6,x2,1,0.9722,0.7244,-0.3141,2.6282,1.80,0.1796
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-3.4738,0.4408,-4.4660,-2.7091,62.10,<.0001
7,x1,1,2.2939,0.4561,1.4337,3.2372,25.29,<.0001
7,x2,1,1.0980,0.5256,0.1219,2.2125,4.36,0.0367
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-3.4962,0.4425,-4.4912,-2.7281,62.42,<.0001
8,x1,1,2.2400,0.4930,1.2710,3.2300,20.65,<.0001
8,x2,1,0.8475,0.5349,-0.1626,1.9717,2.51,0.1131
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-4.5341,0.6766,-6.1463,-3.4094,44.91,<.0001
9,x1,1,3.7634,0.6922,2.5522,5.3752,29.56,<.0001
9,x2,1,0.6420,0.5578,-0.3941,1.8428,1.32,0.2498
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-3.2298,0.3931,-4.0965,-2.5377,67.50,<.0001
10,x1,1,2.4417,0.4799,1.5155,3.4152,25.89,<.0001
10,x2,1,0.3309,0.4918,-0.6113,1.3378,0.45,0.5011
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
