isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
1,Intercept,1,-2.9344,0.3795,-3.6781,-2.1906,59.80,<.0001
1,x1,1,0.2279,0.6525,-1.0509,1.5068,0.12,0.7268
1,x2,1,0.9776,0.4988,-0.0001,1.9552,3.84,0.0500
1,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
2,Intercept,1,-2.7306,0.3538,-3.4241,-2.0371,59.56,<.0001
2,x1,1,-0.6374,0.7439,-2.0954,0.8206,0.73,0.3915
2,x2,1,1.4453,0.4295,0.6035,2.2870,11.32,0.0008
2,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
3,Intercept,1,-2.6561,0.3333,-3.3094,-2.0027,63.49,<.0001
3,x1,1,-0.6105,0.7884,-2.1557,0.9347,0.60,0.4387
3,x2,1,0.7965,0.4846,-0.1532,1.7463,2.70,0.1002
3,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
4,Intercept,1,-2.6364,0.3333,-3.2897,-1.9830,62.55,<.0001
4,x1,1,-23.4982,123371.1,-241826,241779.3,0.00,0.9998
4,x2,1,-0.0574,0.6009,-1.2352,1.1204,0.01,0.9239
4,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
5,Intercept,1,-2.1019,0.2582,-2.6080,-1.5959,66.27,<.0001
5,x1,1,-24.1151,111804.6,-219157,219108.9,0.00,0.9998
5,x2,1,0.3078,0.4082,-0.4923,1.1080,0.57,0.4508
5,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
6,Intercept,1,-3.1241,0.4492,-4.0045,-2.2436,48.37,<.0001
6,x1,1,0.0265,0.6555,-1.2582,1.3113,0.00,0.9677
6,x2,1,1.2278,0.5520,0.1460,2.3097,4.95,0.0261
6,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
7,Intercept,1,-2.6797,0.3780,-3.4205,-1.9390,50.27,<.0001
7,x1,1,-24.0435,127876.8,-250658,250609.8,0.00,0.9998
7,x2,1,0.9798,0.4629,0.0725,1.8871,4.48,0.0343
7,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
8,Intercept,1,-2.0731,0.2603,-2.5833,-1.5628,63.41,<.0001
8,x1,1,-0.4825,0.7383,-1.9295,0.9645,0.43,0.5134
8,x2,1,0.3205,0.3812,-0.4267,1.0678,0.71,0.4005
8,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
9,Intercept,1,-2.6895,0.3536,-3.3825,-1.9966,57.87,<.0001
9,x1,1,-0.6542,0.5657,-1.7629,0.4545,1.34,0.2475
9,x2,1,1.4255,0.4422,0.5587,2.2922,10.39,0.0013
9,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
10,Intercept,1,-3.1225,0.4472,-3.9991,-2.2460,48.75,<.0001
10,x1,1,-23.9176,135845.7,-266277,266228.7,0.00,0.9999
10,x2,1,0.8158,0.6055,-0.3710,2.0026,1.82,0.1779
10,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
11,Intercept,1,-1.9727,0.2460,-2.4550,-1.4905,64.28,<.0001
11,x1,1,-0.3709,0.7539,-1.8486,1.1068,0.24,0.6227
11,x2,1,-0.5267,0.4838,-1.4749,0.4216,1.19,0.2763
11,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
12,Intercept,1,-2.1323,0.2582,-2.6383,-1.6262,68.20,<.0001
12,x1,1,-23.9346,111766.2,-219082,219033.7,0.00,0.9998
12,x2,1,-0.0417,0.4577,-0.9388,0.8555,0.01,0.9275
12,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
13,Intercept,1,-2.3197,0.2887,-2.8855,-1.7539,64.57,<.0001
13,x1,1,-24.8060,140448.0,-275298,275248.2,0.00,0.9999
13,x2,1,0.4686,0.4410,-0.3957,1.3329,1.13,0.2879
13,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
14,Intercept,1,-2.6205,0.3333,-3.2738,-1.9672,61.80,<.0001
14,x1,1,-23.4865,84621.25,-165878,165831.1,0.00,0.9998
14,x2,1,1.1189,0.4272,0.2816,1.9563,6.86,0.0088
14,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
15,Intercept,1,-2.7372,0.3536,-3.4302,-2.0443,59.94,<.0001
15,x1,1,-23.6111,120768.2,-236725,236677.7,0.00,0.9998
15,x2,1,0.2428,0.5701,-0.8745,1.3602,0.18,0.6701
15,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
16,Intercept,1,-2.1560,0.2677,-2.6807,-1.6314,64.87,<.0001
16,x1,1,-1.1305,1.0290,-3.1473,0.8864,1.21,0.2720
16,x2,1,0.4077,0.3970,-0.3703,1.1858,1.06,0.3043
16,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
17,Intercept,1,-2.5521,0.3015,-3.1431,-1.9611,71.63,<.0001
17,x1,1,-0.8708,0.7602,-2.3608,0.6191,1.31,0.2520
17,x2,1,1.2306,0.4155,0.4163,2.0449,8.77,0.0031
17,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
18,Intercept,1,-2.5780,0.3162,-3.1978,-1.9582,66.46,<.0001
18,x1,1,-24.1674,101728.7,-199409,199360.4,0.00,0.9998
18,x2,1,0.5835,0.4928,-0.3824,1.5494,1.40,0.2364
18,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
19,Intercept,1,-2.5028,0.3077,-3.1059,-1.8997,66.16,<.0001
19,x1,1,0.3509,0.5788,-0.7836,1.4854,0.37,0.5444
19,x2,1,0.3338,0.4654,-0.5784,1.2460,0.51,0.4732
19,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
20,Intercept,1,-2.7226,0.3341,-3.3775,-2.0678,66.41,<.0001
20,x1,1,-0.0869,0.6470,-1.3551,1.1812,0.02,0.8931
20,x2,1,0.9312,0.4575,0.0345,1.8279,4.14,0.0418
20,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
21,Intercept,1,-2.5280,0.3162,-3.1478,-1.9082,63.91,<.0001
21,x1,1,-23.9280,112320.2,-220168,220119.7,0.00,0.9998
21,x2,1,0.3324,0.5164,-0.6797,1.3445,0.41,0.5198
21,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
22,Intercept,1,-2.7625,0.3536,-3.4554,-2.0695,61.05,<.0001
22,x1,1,-24.4748,135120.1,-264855,264806.1,0.00,0.9999
22,x2,1,0.8389,0.4859,-0.1135,1.7912,2.98,0.0843
22,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
23,Intercept,1,-3.4858,0.5001,-4.4660,-2.5056,48.58,<.0001
23,x1,1,-0.2553,0.6298,-1.4897,0.9792,0.16,0.6853
23,x2,1,2.1076,0.5604,1.0093,3.2060,14.15,0.0002
23,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
24,Intercept,1,-2.3327,0.2895,-2.9001,-1.7653,64.93,<.0001
24,x1,1,-0.1239,0.6491,-1.3961,1.1484,0.04,0.8487
24,x2,1,0.4395,0.4376,-0.4182,1.2973,1.01,0.3152
24,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
25,Intercept,1,-2.3465,0.2774,-2.8901,-1.8029,71.58,<.0001
25,x1,1,-24.0166,130854.5,-256494,256446.2,0.00,0.9999
25,x2,1,0.4006,0.4494,-0.4801,1.2813,0.79,0.3726
25,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
26,Intercept,1,-2.5445,0.3026,-3.1375,-1.9515,70.72,<.0001
26,x1,1,-0.6481,1.0522,-2.7104,1.4142,0.38,0.5379
26,x2,1,0.1678,0.5181,-0.8476,1.1832,0.10,0.7460
26,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
27,Intercept,1,-2.7200,0.3545,-3.4149,-2.0252,58.87,<.0001
27,x1,1,-0.2845,0.7766,-1.8067,1.2376,0.13,0.7141
27,x2,1,0.5578,0.5013,-0.4248,1.5403,1.24,0.2659
27,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
28,Intercept,1,-2.3929,0.2775,-2.9368,-1.8490,74.36,<.0001
28,x1,1,-0.8429,1.0426,-2.8864,1.2006,0.65,0.4188
28,x2,1,0.6540,0.4289,-0.1866,1.4946,2.32,0.1273
28,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
29,Intercept,1,-2.5027,0.3169,-3.1238,-1.8815,62.36,<.0001
29,x1,1,-0.8062,0.7529,-2.2818,0.6694,1.15,0.2842
29,x2,1,0.9673,0.4279,0.1285,1.8060,5.11,0.0238
29,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
30,Intercept,1,-2.5617,0.3162,-3.1815,-1.9419,65.62,<.0001
30,x1,1,-24.6231,123345.2,-241777,241727.5,0.00,0.9998
30,x2,1,0.7697,0.4928,-0.1962,1.7356,2.44,0.1183
30,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
31,Intercept,1,-2.3771,0.3015,-2.9681,-1.7862,62.16,<.0001
31,x1,1,-24.1194,88567.73,-173614,173565.4,0.00,0.9998
31,x2,1,1.0341,0.3870,0.2757,1.7925,7.14,0.0075
31,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
32,Intercept,1,-2.7446,0.3351,-3.4015,-2.0878,67.07,<.0001
32,x1,1,-0.1299,0.7868,-1.6719,1.4121,0.03,0.8689
32,x2,1,0.5724,0.5245,-0.4557,1.6004,1.19,0.2752
32,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
33,Intercept,1,-3.2191,0.4472,-4.0956,-2.3426,51.81,<.0001
33,x1,1,-24.0726,128688.6,-252249,252201.0,0.00,0.9999
33,x2,1,0.8784,0.6055,-0.3084,2.0652,2.10,0.1469
33,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
34,Intercept,1,-2.6792,0.3780,-3.4200,-1.9384,50.25,<.0001
34,x1,1,-24.1302,113789.0,-223046,222998.1,0.00,0.9998
34,x2,1,0.9248,0.4835,-0.0229,1.8724,3.66,0.0558
34,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
35,Intercept,1,-3.4104,0.5021,-4.3945,-2.4262,46.13,<.0001
35,x1,1,-0.0611,1.0498,-2.1187,1.9964,0.00,0.9536
35,x2,1,1.1809,0.6155,-0.0254,2.3873,3.68,0.0550
35,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
36,Intercept,1,-2.3481,0.2774,-2.8917,-1.8045,71.67,<.0001
36,x1,1,-0.8594,1.0607,-2.9382,1.2195,0.66,0.4178
36,x2,1,0.3890,0.4494,-0.4917,1.2698,0.75,0.3866
36,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
37,Intercept,1,-2.3726,0.2782,-2.9179,-1.8273,72.72,<.0001
37,x1,1,-0.6964,1.0430,-2.7407,1.3478,0.45,0.5043
37,x2,1,0.3482,0.4766,-0.5859,1.2823,0.53,0.4650
37,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
38,Intercept,1,-2.5475,0.3166,-3.1680,-1.9270,64.75,<.0001
38,x1,1,-0.6600,1.0688,-2.7548,1.4348,0.38,0.5369
38,x2,1,0.1769,0.5344,-0.8705,1.2244,0.11,0.7406
38,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
39,Intercept,1,-3.1084,0.4474,-3.9853,-2.2316,48.28,<.0001
39,x1,1,-1.7604,1.0337,-3.7864,0.2656,2.90,0.0886
39,x2,1,1.6478,0.5242,0.6204,2.6752,9.88,0.0017
39,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
40,Intercept,1,-2.7128,0.3347,-3.3689,-2.0568,65.69,<.0001
40,x1,1,0.4679,0.7795,-1.0598,1.9957,0.36,0.5483
40,x2,1,0.4717,0.5031,-0.5144,1.4579,0.88,0.3485
40,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
41,Intercept,1,-2.5736,0.3187,-3.1982,-1.9490,65.22,<.0001
41,x1,1,-0.5253,1.0418,-2.5672,1.5166,0.25,0.6141
41,x2,1,0.3014,0.5209,-0.7196,1.3223,0.33,0.5629
41,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
42,Intercept,1,-2.4085,0.3024,-3.0011,-1.8158,63.44,<.0001
42,x1,1,-0.6258,1.0408,-2.6658,1.4142,0.36,0.5477
42,x2,1,0.3693,0.4707,-0.5533,1.2919,0.62,0.4327
42,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
43,Intercept,1,-2.6491,0.3339,-3.3036,-1.9947,62.94,<.0001
43,x1,1,-0.8488,1.0346,-2.8766,1.1789,0.67,0.4120
43,x2,1,0.8281,0.4532,-0.0602,1.7164,3.34,0.0677
43,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
44,Intercept,1,-2.4019,0.3015,-2.9929,-1.8110,63.46,<.0001
44,x1,1,-24.1633,128276.1,-251441,251392.3,0.00,0.9998
44,x2,1,-0.0606,0.5394,-1.1177,0.9966,0.01,0.9106
44,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
45,Intercept,1,-2.3003,0.2682,-2.8260,-1.7746,73.56,<.0001
45,x1,1,-0.8693,1.0316,-2.8912,1.1525,0.71,0.3994
45,x2,1,0.3838,0.4310,-0.4610,1.2287,0.79,0.3732
45,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
46,Intercept,1,-2.6853,0.3540,-3.3792,-1.9914,57.52,<.0001
46,x1,1,-0.7332,1.0509,-2.7928,1.3265,0.49,0.4854
46,x2,1,0.6444,0.5087,-0.3527,1.6415,1.60,0.2053
46,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
47,Intercept,1,-2.8145,0.3536,-3.5075,-2.1214,63.35,<.0001
47,x1,1,-1.5165,1.0344,-3.5440,0.5109,2.15,0.1426
47,x2,1,1.3097,0.4479,0.4318,2.1876,8.55,0.0035
47,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
48,Intercept,1,-2.6223,0.3333,-3.2757,-1.9690,61.89,<.0001
48,x1,1,-23.6054,92927.53,-182158,182111.0,0.00,0.9998
48,x2,1,0.8944,0.4595,-0.0061,1.7949,3.79,0.0516
48,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
49,Intercept,1,-3.0637,0.4082,-3.8639,-2.2636,56.32,<.0001
49,x1,1,-24.6368,116028.2,-227436,227386.5,0.00,0.9998
49,x2,1,1.3123,0.5401,0.2538,2.3708,5.90,0.0151
49,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
50,Intercept,1,-2.5947,0.3174,-3.2169,-1.9726,66.82,<.0001
50,x1,1,-1.0160,1.0528,-3.0794,1.0474,0.93,0.3345
50,x2,1,0.4576,0.5264,-0.5741,1.4893,0.76,0.3846
50,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
51,Intercept,1,-2.3045,0.3015,-2.8954,-1.7135,58.42,<.0001
51,x1,1,-24.7923,128300.5,-251489,251439.5,0.00,0.9998
51,x2,1,0.4499,0.4495,-0.4310,1.3309,1.00,0.3168
51,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
52,Intercept,1,-2.8305,0.3782,-3.5717,-2.0893,56.01,<.0001
52,x1,1,-0.6637,1.0572,-2.7357,1.4083,0.39,0.5301
52,x2,1,0.6680,0.5286,-0.3680,1.7040,1.60,0.2063
52,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
53,Intercept,1,-2.7505,0.3540,-3.4444,-2.0566,60.36,<.0001
53,x1,1,-0.2897,0.6451,-1.5542,0.9747,0.20,0.6534
53,x2,1,1.0770,0.4649,0.1658,1.9881,5.37,0.0205
53,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
54,Intercept,1,-2.3010,0.2830,-2.8556,-1.7464,66.13,<.0001
54,x1,1,0.3456,0.6156,-0.8611,1.5522,0.32,0.5746
54,x2,1,0.5049,0.3934,-0.2661,1.2759,1.65,0.1993
54,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
55,Intercept,1,-2.4326,0.3162,-3.0524,-1.8129,59.18,<.0001
55,x1,1,-24.0371,129591.5,-254019,253970.6,0.00,0.9999
55,x2,1,0.2119,0.4928,-0.7540,1.1778,0.18,0.6672
55,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
56,Intercept,1,-2.9200,0.3787,-3.6623,-2.1777,59.45,<.0001
56,x1,1,-0.7773,1.0393,-2.8142,1.2596,0.56,0.4545
56,x2,1,1.1325,0.4969,0.1587,2.1063,5.20,0.0226
56,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
57,Intercept,1,-2.6248,0.3343,-3.2800,-1.9696,61.65,<.0001
57,x1,1,-0.4388,0.7610,-1.9303,1.0527,0.33,0.5642
57,x2,1,0.7028,0.4589,-0.1967,1.6022,2.35,0.1257
57,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
58,Intercept,1,-2.3068,0.2840,-2.8634,-1.7503,66.00,<.0001
58,x1,1,0.2383,0.5611,-0.8614,1.3379,0.18,0.6710
58,x2,1,0.1747,0.4290,-0.6661,1.0155,0.17,0.6838
58,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
59,Intercept,1,-2.6781,0.3555,-3.3750,-1.9813,56.74,<.0001
59,x1,1,-0.6984,1.0273,-2.7118,1.3150,0.46,0.4966
59,x2,1,0.8329,0.4570,-0.0629,1.7286,3.32,0.0684
59,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
60,Intercept,1,-2.7525,0.3542,-3.4467,-2.0583,60.40,<.0001
60,x1,1,-1.0401,1.0353,-3.0692,0.9890,1.01,0.3151
60,x2,1,1.0103,0.4682,0.0926,1.9280,4.66,0.0309
60,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
61,Intercept,1,-3.5010,0.5000,-4.4809,-2.5210,49.03,<.0001
61,x1,1,-23.1801,127983.7,-250867,250820.2,0.00,0.9999
61,x2,1,0.8164,0.7071,-0.5695,2.2023,1.33,0.2483
61,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
62,Intercept,1,-2.8634,0.3780,-3.6043,-2.1226,57.39,<.0001
62,x1,1,-0.7048,0.7483,-2.1715,0.7618,0.89,0.3462
62,x2,1,1.5641,0.4521,0.6779,2.4502,11.97,0.0005
62,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
63,Intercept,1,-2.4203,0.2891,-2.9869,-1.8538,70.11,<.0001
63,x1,1,-1.1547,1.0375,-3.1881,0.8787,1.24,0.2657
63,x2,1,0.5562,0.4340,-0.2945,1.4068,1.64,0.2000
63,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
64,Intercept,1,-2.4413,0.2895,-3.0086,-1.8739,71.11,<.0001
64,x1,1,-0.3610,1.0655,-2.4493,1.7273,0.11,0.7348
64,x2,1,0.0155,0.5502,-1.0629,1.0939,0.00,0.9776
64,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
65,Intercept,1,-2.8207,0.3546,-3.5158,-2.1257,63.27,<.0001
65,x1,1,-0.6159,1.0511,-2.6760,1.4442,0.34,0.5579
65,x2,1,0.6120,0.5255,-0.4181,1.6420,1.36,0.2442
65,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
66,Intercept,1,-2.8927,0.3782,-3.6340,-2.1514,58.49,<.0001
66,x1,1,-0.7924,1.0444,-2.8394,1.2546,0.58,0.4480
66,x2,1,0.8908,0.4993,-0.0879,1.8694,3.18,0.0744
66,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
67,Intercept,1,-2.2775,0.2887,-2.8433,-1.7117,62.25,<.0001
67,x1,1,-24.3555,99221.37,-194495,194446.0,0.00,0.9998
67,x2,1,0.5063,0.4410,-0.3579,1.3706,1.32,0.2509
67,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
68,Intercept,1,-3.0480,0.4105,-3.8526,-2.2435,55.14,<.0001
68,x1,1,-0.0961,0.7732,-1.6116,1.4194,0.02,0.9010
68,x2,1,0.9989,0.5365,-0.0527,2.0504,3.47,0.0626
68,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
