_TYPE_;_FREQ_;bias1;msen1;leftcov1;rightcov1;power1;bias2;msen2;leftcov2;rightcov2;power2;width1;width2;MSPEN;rmsen1;rmsen2;rmspen;n;ncov;epv;method;truebeta1;truebeta2
;;;;;;;;;;;;;;;;;;;;;;;
0;10000;-19.94875426;435.04291836;0.9495;1;0.0003;-0.316048014;50.383853981;0.9672;0.9967;0.1113;821984.19689;3.3947572022;0.3208411724;161.56291376;54.982099258;0.5664284354;60;2;3;ML;-2.772588722;0.6931471806
0;10000;2.3099423466;5.8381930759;0.9403;1;0.0036;-0.027362248;0.7463333877;0.9809;0.9742;0.1441;6.901963039;3.2523160269;0.4336865347;18.716078237;6.6917862533;0.6585488096;60;2;3;Firth;-2.772588722;0.6931471806
0;10000;2.3099444704;5.838204546;0.9403;1;0.0036;-0.027363133;0.7463347482;0.9809;0.9742;0.1441;6.9019606979;3.2523160269;0.2993500091;18.716096622;6.6917923528;0.5471288779;60;2;3;FLAC;-2.772588722;0.6931471806
0;10000;1.2078171527;1.8334860257;0.9623;1;0.0112;-0.113976697;1.0706835299;0.9787;0.9644;0.127;8.6165607496;3.5203491852;0.2922399582;10.488525232;8.0150490825;0.5405922292;60;2;3;DatAug;-2.772588722;0.6931471806
0;60001;2.2645830371;6.7241012225;0.9201;0.9716;0.0058;-0.021731632;0.8341755455;0.955;0.9541;0.1376;7.1198515743;3.4283821001;;20.085967075;7.0746401129;;60;2;3;LXPMLE;-2.772588722;0.6931471806
0;69777;2.8190313249;8.480416991;0.9885634029;0.9929775281;0.0009028892;-0.011082597;0.7618513812;0.992776886;0.9933788122;0.0703250401;1E300;4.3455839157;;22.557150074;6.7609971804;;60;2;3;Exact;-2.772588722;0.6931471806
0;69777;2.8190313249;8.480416991;0.9766252006;0.9929775281;0.003511236;-0.011082597;0.7618513812;0.9842495987;0.9841492777;0.1149678973;1E300;3.7842512131;;22.557150074;6.7609971804;;60;2;3;Mid-P;-2.772588722;0.6931471806
0;10000;-19.37483572;439.48406193;0.9455;1;0.0018;-0.172546119;53.657798594;0.9619;0.995;0.1116;817514.58039;3.3947572022;0.3288020583;162.38547877;56.740355265;0.5734126423;60;2;3;ML;-2.079441542;0.6931471806
0;10000;1.6962042037;3.421060185;0.9277;1;0.0029;-0.022907823;0.7683010247;0.9802;0.9719;0.1447;6.8925184941;3.2883082892;0.4467536577;14.327023805;6.7895553228;0.6683963328;60;2;3;Firth;-2.079441542;0.6931471806
0;10000;1.6962063561;3.4210694348;0.9277;1;0.0029;-0.022908858;0.7683028054;0.9802;0.9719;0.1447;6.8925161322;3.2883084124;0.30273387;14.327043173;6.7895631907;0.550212568;60;2;3;FLAC;-2.079441542;0.6931471806
0;10000;0.6309577121;0.9406295856;0.9737;1;0.0088;-0.103548237;1.0987977573;0.9798;0.9654;0.127;8.5989902749;3.646828817;0.2965776594;7.5125079124;8.1195976153;0.5445894411;60;2;3;DatAug;-2.079441542;0.6931471806
0;60001;1.6626105899;4.2285676958;0.9082;0.9748;0.0044;-0.015078306;0.7958863188;0.9581;0.9555;0.1382;7.1112714518;3.4285266725;;15.928404244;6.9103675103;;60;2;3;LXPMLE;-2.079441542;0.6931471806
0;69812;2.1684877656;5.2381988595;0.9887696781;0.9941842976;0.0003008122;-0.010122596;0.7790262463;0.993281861;0.9917778001;0.0689862629;1E300;4.6493530273;;17.728280559;6.8367810248;;60;2;3;Exact;-2.079441542;0.6931471806
0;69812;2.1684877656;5.2381988595;0.9812493733;0.9941842976;0.0019051439;-0.010122596;0.7790262463;0.9841572245;0.9829539757;0.1107991577;1E300;4.0350914001;;17.728280559;6.8367810248;;60;2;3;Mid-P;-2.079441542;0.6931471806
0;10000;-17.79522782;419.36727105;0.9556;1;0.0032;-0.071471414;54.031811946;0.9606;0.9938;0.1171;795151.88175;3.3947572022;0.3472904239;158.62545906;56.937761782;0.5893135192;60;2;3;ML;-1.386294361;0.6931471806
0;10000;1.1111437918;1.8536293086;0.9368;1;0.0041;-0.005055998;0.7785393541;0.9788;0.9727;0.1507;6.8510993216;3.2851835839;0.468946788;10.545983051;6.8346441931;0.6847968955;60;2;3;Firth;-1.386294361;0.6931471806
0;10000;1.1111457835;1.853635154;0.9368;1;0.0041;-0.005056972;0.7785404707;0.9788;0.9727;0.1507;6.8510984475;3.2851837403;0.3139689131;10.545999679;6.8346490942;0.5603292898;60;2;3;FLAC;-1.386294361;0.6931471806
0;10000;0.1242463884;0.8272411839;0.9812;1;0.0069;-0.077259117;1.1000330792;0.9783;0.9656;0.135;8.5287298016;3.6452935473;0.3084281255;7.0451735984;8.1241605569;0.5553630574;60;2;3;DatAug;-1.386294361;0.6931471806
0;60001;1.0753480075;2.7358985731;0.9239;0.9761;0.0057;-0.002886672;0.8385575276;0.9584;0.9575;0.1437;7.0786131196;3.4285050127;;12.812256413;7.0931975624;;60;2;3;LXPMLE;-1.386294361;0.6931471806
0;69798;1.5091908772;2.8197027758;0.985257246;0.9934810952;0.0003008725;0.0088046867;0.791514068;0.9932805135;0.9915755692;0.0709056263;1E300;4.6493530273;;13.007004519;6.8913601036;;60;2;3;Exact;-1.386294361;0.6931471806
0;69798;1.5091908772;2.8197027758;0.9793400863;0.9934810952;0.0018052352;0.0088046867;0.791514068;0.9829505566;0.9834520108;0.1189449403;1E300;4.0350914001;;13.007004519;6.8913601036;;60;2;3;Mid-P;-1.386294361;0.6931471806
0;10000;-14.62213342;358.52258223;0.9647;1;0.0072;0.1007394095;51.220243035;0.9588;0.9942;0.1089;714913.43009;3.3947572022;0.3714227144;146.66749788;55.436581624;0.609444595;60;2;3;ML;-0.693147181;0.6931471806
0;10000;0.6423099756;1.1125309098;0.9497;1;0.0111;-0.007025298;0.7586131824;0.978;0.9759;0.1378;6.7480754563;3.2892336844;0.5003792342;8.1701808174;6.7466132943;0.7073748894;60;2;3;Firth;-0.693147181;0.6931471806
0;10000;0.6423119025;1.1125346427;0.9497;1;0.0111;-0.007026386;0.7586143573;0.978;0.9759;0.1378;6.7480663121;3.2892338089;0.3287457265;8.170194524;6.7466185187;0.5733635204;60;2;3;FLAC;-0.693147181;0.6931471806
0;10000;-0.212909928;1.2073972885;0.9819;1;0.0068;-0.065199425;1.049361715;0.9767;0.9717;0.1244;8.3693638287;3.6338273122;0.3257351829;8.5113945571;7.9348410761;0.5707321463;60;2;3;DatAug;-0.693147181;0.6931471806
