_TYPE_;_FREQ_;separation1;separation2;n;ncov;epv;truebeta1;truebeta2;method;BetaNA1;BetaNA2;noLowerCI1;NoUpperCI1;NoLowerCI2;NoUpperCI2;MUE1;MUE2
;;;;;;;;;;;;;;;;;
0;40001;0.9426;0.0418;60;2;3;-2.772588722;0.6931471806;ML;;;;;;;;
0;60001;;;60;2;3;-2.772588722;0.6931471806;LXPMLE;0.0256;0.0256;0.0264;0.0256;0.0264;0.0261;;
0;69777;;;60;2;3;-2.772588722;0.6931471806;Exact;0.0070224719;0;;;;;0.9358948636;0
0;40001;0.8913;0.0402;60;2;3;-2.079441542;0.6931471806;ML;;;;;;;;
0;60001;;;60;2;3;-2.079441542;0.6931471806;LXPMLE;0.0227;0.0227;0.0229;0.0228;0.0229;0.0229;;
0;69812;;;60;2;3;-2.079441542;0.6931471806;Exact;0.0058157024;0;;;;;0.8869948862;0
0;40001;0.8007;0.0381;60;2;3;-1.386294361;0.6931471806;ML;;;;;;;;
0;60001;;;60;2;3;-1.386294361;0.6931471806;LXPMLE;0.0212;0.0212;0.0216;0.0212;0.0216;0.0215;;
0;69798;;;60;2;3;-1.386294361;0.6931471806;Exact;0.0065189048;0;;;;;0.7966101695;0
0;40001;0.645;0.0318;60;2;3;-0.693147181;0.6931471806;ML;;;;;;;;
0;60001;;;60;2;3;-0.693147181;0.6931471806;LXPMLE;0.0124;0.0124;0.0131;0.0126;0.0131;0.0131;;
0;69847;;;60;2;3;-0.693147181;0.6931471806;Exact;0.0046101423;0.0001002205;;;;;0.6434155141;0
0;40001;0.4527;0.027;60;2;3;0;0.6931471806;ML;;;;;;;;
0;60001;;;60;2;3;0;0.6931471806;LXPMLE;0.0082;0.0082;0.0084;0.0083;0.0084;0.0083;;
0;69812;;;60;2;3;0;0.6931471806;Exact;0.0032086634;0.0001002707;;;;;0.4566329089;0
0;40001;0.2523;0.0197;60;2;3;0.6931471806;0.6931471806;ML;;;;;;;;
0;60001;;;60;2;3;0.6931471806;0.6931471806;LXPMLE;0.0035;0.0035;0.0036;0.0036;0.0036;0.0035;;
0;69805;;;60;2;3;0.6931471806;0.6931471806;Exact;0.0023064581;0.0005014039;;;;;0.2637384677;0
0;40001;0.1114;0.0151;60;2;3;1.3862943611;0.6931471806;ML;;;;;;;;
0;60001;;;60;2;3;1.3862943611;0.6931471806;LXPMLE;0.0003;0.0003;0.0004;0.0003;0.0004;0.0003;;
0;69756;;;60;2;3;1.3862943611;0.6931471806;Exact;0.0016056197;0.0018063221;;;;;0.141796287;0
0;40001;0.0327;0.0093;60;2;3;2.0794415417;0.6931471806;ML;;;;;;;;
0;60001;;;60;2;3;2.0794415417;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;69847;;;60;2;3;2.0794415417;0.6931471806;Exact;0.0006013229;0.0056123472;;;;;0.1096412107;0
0;40001;0.0094;0.0077;60;2;3;2.7725887222;0.6931471806;ML;;;;;;;;
0;60001;;;60;2;3;2.7725887222;0.6931471806;LXPMLE;0;0;0.0001;0.0001;0.0001;0.0001;;
0;69798;;;60;2;3;2.7725887222;0.6931471806;Exact;0.0002005817;0.0200581687;;;;;0.1879450406;0
0;40001;0.912;0.0092;100;2;5;-2.772588722;0.6931471806;ML;;;;;;;;
0;60001;;;100;2;5;-2.772588722;0.6931471806;LXPMLE;0.1111;0.1111;0.5036;0.5017;0.5018;0.5036;;
0;69602;;;100;2;5;-2.772588722;0.6931471806;Exact;0.0003017198;0;;;;;0.911696671;0
0;40001;0.8393;0.0078;100;2;5;-2.079441542;0.6931471806;ML;;;;;;;;
0;60001;;;100;2;5;-2.079441542;0.6931471806;LXPMLE;0.0916;0.0916;0.4956;0.4939;0.4932;0.4955;;
0;69644;;;100;2;5;-2.079441542;0.6931471806;Exact;0.0003015378;0;;;;;0.8388782792;0
0;40001;0.7008;0.0076;100;2;5;-1.386294361;0.6931471806;ML;;;;;;;;
0;60001;;;100;2;5;-1.386294361;0.6931471806;LXPMLE;0.0676;0.0676;0.4548;0.4532;0.4531;0.4545;;
0;69728;;;100;2;5;-1.386294361;0.6931471806;Exact;0.0007027407;0;;;;;0.7004316836;0
0;40001;0.5167;0.008;100;2;5;-0.693147181;0.6931471806;ML;;;;;;;;
0;60001;;;100;2;5;-0.693147181;0.6931471806;LXPMLE;0.0477;0.0477;0.4294;0.4281;0.4261;0.4294;;
0;69819;;;100;2;5;-0.693147181;0.6931471806;Exact;0.000300782;0;;;;;0.5167435332;0
0;40001;0.3037;0.005;100;2;5;0;0.6931471806;ML;;;;;;;;
0;60001;;;100;2;5;0;0.6931471806;LXPMLE;0.0195;0.0195;0.3971;0.3963;0.3926;0.3968;;
0;69742;;;100;2;5;0;0.6931471806;Exact;0.0004014855;0.0001003714;;;;;0.3042256348;0
0;40001;0.1355;0.0057;100;2;5;0.6931471806;0.6931471806;ML;;;;;;;;
0;60001;;;100;2;5;0.6931471806;0.6931471806;LXPMLE;0.0056;0.0056;0.3836;0.3833;0.3762;0.3837;;
0;69770;;;100;2;5;0.6931471806;0.6931471806;Exact;0;0;;;;;0.1371526036;0
0;40001;0.0502;0.0023;100;2;5;1.3862943611;0.6931471806;ML;;;;;;;;
0;60001;;;100;2;5;1.3862943611;0.6931471806;LXPMLE;0.0011;0.0011;0.3543;0.3615;0.3498;0.3615;;
0;69707;;;100;2;5;1.3862943611;0.6931471806;Exact;0;0;;;;;0.0543281783;0
0;40001;0.0149;0.002;100;2;5;2.0794415417;0.6931471806;ML;;;;;;;;
0;60001;;;100;2;5;2.0794415417;0.6931471806;LXPMLE;0.0016;0.0016;0.3133;0.3363;0.3175;0.336;;
0;69749;;;100;2;5;2.0794415417;0.6931471806;Exact;0;0.0004014452;;;;;0.0300080289;0
0;40001;0.004;0.0017;100;2;5;2.7725887222;0.6931471806;ML;;;;;;;;
0;60001;;;100;2;5;2.7725887222;0.6931471806;LXPMLE;0.0019;0.0019;0.2377;0.2778;0.2566;0.2771;;
0;69644;;;100;2;5;2.7725887222;0.6931471806;Exact;0;0.0021107649;;;;;0.0600060308;0
0;40001;0.8336;0;200;2;10;-2.772588722;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;-2.772588722;0.6931471806;LXPMLE;0.0184;0.0184;0.0185;0.0185;0.0185;0.0185;;
0;68986;;;200;2;10;-2.772588722;0.6931471806;Exact;0;0;;;;;0.8340943683;0
0;40001;0.6988;0.0001;200;2;10;-2.079441542;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;-2.079441542;0.6931471806;LXPMLE;0.0192;0.0192;0.0193;0.0193;0.0193;0.0193;;
0;68965;;;200;2;10;-2.079441542;0.6931471806;Exact;0;0;;;;;0.6988428745;0
0;40001;0.5106;0.0002;200;2;10;-1.386294361;0.6931471806;ML;;;;;;;;
0;60001;;;200;2;10;-1.386294361;0.6931471806;LXPMLE;0.013;0.013;0.0131;0.0131;0.0131;0.0131;;
0;69091;;;200;2;10;-1.386294361;0.6931471806;Exact;0;0;;;;;0.510739615;0
0;40001;0.2687;0.0001;200;2;10;-0.693147181;0.6931471806;ML;;;;;;;;
