_TYPE_,_FREQ_,bias,MSE,lowercover,uppercover,power,ncov,nbeta,epv,n,RMSE,RMSE_SQRTN
0,10000,2.2991238193,5.8125003429,0.9443,1,0.0034,2,1,3,60,2.4109127614,18.674849948
0,10000,0.635477598,1.1293525351,0.9523,1,0.0117,2,2,3,60,1.0627099958,8.2317162311
0,10000,0.306262781,0.9146107986,0.9604,0.9995,0.0401,2,3,3,60,0.956352863,7.4078774233
0,10000,0.1020182291,0.8628218639,0.9655,0.9961,0.1379,2,4,3,60,0.9288820506,7.1950894249
0,10000,-0.047664119,0.8696394443,0.9906,0.9674,0.871,2,5,3,60,0.9325446071,7.2234594659
0,10000,1.2486262825,1.8736265467,0.9284,1,0.1889,2,1,10,200,1.3688047877,19.35782295
0,10000,0.0984325621,0.6172885378,0.9624,0.9996,0.0467,2,2,10,200,0.7856771206,11.111152396
0,10000,0.0228680495,0.4962106118,0.9677,0.9921,0.0402,2,3,10,200,0.7044221829,9.9620340471
0,10000,0.006527968,0.3727500895,0.9703,0.9804,0.2734,2,4,10,200,0.6105326277,8.6342352233
0,10000,0.0088655709,0.3195903148,0.9745,0.9724,0.9973,2,5,10,200,0.565323195,7.9948772952
