_TYPE_,_FREQ_,bias,MSE,lowercover,uppercover,power,ncov,nbeta,epv,n,RMSE,RMSE_SQRTN
0,9999,2.2897377575,5.769152927,0.9408940894,1,0.00320032,2,1,3,60,2.4019061029,18.605084671
0,9993,0.6359765603,1.1300882075,0.9528670069,1,0.0118082658,2,2,3,60,1.0630560698,8.2343969089
0,9997,0.3142367662,0.9300748499,0.9570871261,0.99959988,0.0433129939,2,3,3,60,0.9644038832,7.4702403572
0,9996,0.124370176,0.8873981611,0.9650860344,0.9944977991,0.1483593437,2,4,3,60,0.942018132,7.2968410744
0,9985,-0.049564722,0.8682596531,0.9905858788,0.9673510265,0.8709063595,2,5,3,60,0.9318045144,7.2177267326
0,10000,1.2483462378,1.8832074036,0.9266,1,0.1923,2,1,10,200,1.3723000414,19.407253302
0,10000,0.1053466046,0.6005303369,0.9637,1,0.0454,2,2,10,200,0.7749389246,10.959291372
0,10000,0.0110676942,0.5063420759,0.9705,0.9917,0.0378,2,3,10,200,0.711577175,10.063220915
0,10000,0.0065120467,0.3783845996,0.9705,0.9814,0.2615,2,4,10,200,0.6151297421,8.6992482393
0,10000,0.0088655709,0.3195903148,0.9745,0.9724,0.9973,2,5,10,200,0.565323195,7.9948772952
